"년월","시군구","인원"
"2023-06","강원도 횡성군","91"
"2023-06","경기도 가평군","44"
"2023-06","경기도 고양시","572"
"2023-06","경기도 과천시","1"
"2023-06","경기도 광명시","1567"
"2023-06","경기도 광주시","180"
"2023-06","경기도 구리시","266"
"2023-06","경기도 군포시","455"
"2023-06","경기도 김포시","342"
"2023-06","경기도 남양주시","316"
"2023-06","경기도 동두천시","39"
"2023-06","경기도 부천시","619"
"2023-06","경기도 성남시","630"
"2023-06","경기도 수원시","1725"
"2023-06","경기도 시흥시","366"
"2023-06","경기도 안산시","457"
"2023-06","경기도 안성시","181"
"2023-06","경기도 안양시","1182"
"2023-06","경기도 양주시","20"
"2023-06","경기도 양평군","154"
"2023-06","경기도 여주시","174"
"2023-06","경기도 연천군","122"
"2023-06","경기도 오산시","236"
"2023-06","경기도 용인시","804"
"2023-06","경기도 의왕시","87"
"2023-06","경기도 의정부시","815"
"2023-06","경기도 이천시","150"
"2023-06","경기도 파주시","273"
"2023-06","경기도 평택시","578"
"2023-06","경기도 포천시","114"
"2023-06","경기도 하남시","227"
"2023-06","경기도 화성시","208"
"2023-06","경남 거제시","252"
"2023-06","경남 거창군","116"
"2023-06","경남 고성군","111"
"2023-06","경남 김해시","682"
"2023-06","경남 남해군","37"
"2023-06","경남 밀양시","200"
"2023-06","경남 사천시","17"
"2023-06","경남 산청군","26"
"2023-06","경남 양산시","392"
"2023-06","경남 의령군","50"
"2023-06","경남 진주시","795"
"2023-06","경남 창녕군","101"
"2023-06","경남 창원시","2421"
"2023-06","경남 통영시","203"
"2023-06","경남 하동군","70"
"2023-06","경남 함안군","98"
"2023-06","경남 함양군","84"
"2023-06","경남 합천군","4"
"2023-06","경북 경산시","698"
"2023-06","경북 경주시","957"
"2023-06","경북 고령군","58"
"2023-06","경북 구미시","565"
"2023-06","경북 김천시","304"
"2023-06","경북 문경시","241"
"2023-06","경북 봉화군","43"
"2023-06","경북 상주시","341"
"2023-06","경북 성주군","72"
"2023-06","경북 안동시","494"
"2023-06","경북 영덕군","84"
"2023-06","경북 영양군","23"
"2023-06","경북 영주시","296"
"2023-06","경북 영천시","249"
"2023-06","경북 예천군","66"
"2023-06","경북 울릉군","26"
"2023-06","경북 울진군","87"
"2023-06","경북 의성군","131"
"2023-06","경북 청도군","96"
"2023-06","경북 청송군","54"
"2023-06","경북 칠곡군","60"
"2023-06","경북 포항시","1273"
"2023-06","광주시 광산구","30"
"2023-06","광주시 남구","55"
"2023-06","광주시 동구","31"
"2023-06","광주시 북구","18"
"2023-06","광주시 서구","38"
"2023-06","대구시 군위군","49"
"2023-06","대구시 남구","13"
"2023-06","대구시 달서구","22"
"2023-06","대구시 달성군","4"
"2023-06","대구시 동구","262"
"2023-06","대구시 북구","142"
"2023-06","대구시 서구","37"
"2023-06","대구시 수성구","21"
"2023-06","대구시 중구","33"
"2023-06","대전시 대덕구","14"
"2023-06","대전시 동구","116"
"2023-06","대전시 서구","123"
"2023-06","대전시 유성구","52"
"2023-06","대전시 중구","42"
"2023-06","부산시 금정구","1053"
"2023-06","부산시 기장군","385"
"2023-06","부산시 남구","635"
"2023-06","부산시 동구","47"
"2023-06","부산시 동래구","430"
"2023-06","부산시 부산진구","71"
"2023-06","부산시 북구","608"
"2023-06","부산시 사상구","50"
"2023-06","부산시 사하구","489"
"2023-06","부산시 서구","48"
"2023-06","부산시 수영구","309"
"2023-06","부산시 연제구","62"
"2023-06","부산시 영도구","339"
"2023-06","부산시 중구","110"
"2023-06","부산시 진구","175"
"2023-06","부산시 해운대구","239"
"2023-06","서울시 강남구","90"
"2023-06","서울시 강동구","155"
"2023-06","서울시 강북구","543"
"2023-06","서울시 강서구","435"
"2023-06","서울시 관악구","502"
"2023-06","서울시 광진구","137"
"2023-06","서울시 구로구","309"
"2023-06","서울시 금천구","153"
"2023-06","서울시 노원구","822"
"2023-06","서울시 도봉구","543"
"2023-06","서울시 동대문구","167"
"2023-06","서울시 동작구","100"
"2023-06","서울시 마포구","177"
"2023-06","서울시 서대문구","169"
"2023-06","서울시 서초구","87"
"2023-06","서울시 성동구","239"
"2023-06","서울시 성북구","297"
"2023-06","서울시 송파구","512"
"2023-06","서울시 양천구","456"
"2023-06","서울시 영등포구","934"
"2023-06","서울시 용산구","139"
"2023-06","서울시 은평구","264"
"2023-06","서울시 종로구","1990"
"2023-06","서울시 중구","131"
"2023-06","서울시 중랑구","227"
"2023-06","세종 세종시","181"
"2023-06","울산시 남구","2111"
"2023-06","울산시 동구","95"
"2023-06","울산시 북구","213"
"2023-06","울산시 울주군","237"
"2023-06","울산시 중구","197"
"2023-06","인천시 강화군","195"
"2023-06","인천시 계양구","38"
"2023-06","인천시 남동구","71"
"2023-06","인천시 동구","805"
"2023-06","인천시 미추홀구","745"
